District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Ghazipur,379,Zamania,Sunita,,BJP,76823,35.67,Atul Kumar,,BSP,67559,31.37,9264
Chandauli,380,Mughalsarai,Sadhana Singh,,BJP,87401,37.89,Babulal,,SP,74158,32.15,13243
Chandauli,381,Sakaldiha,Prabhunarayan Yadav,,SP,79875,39.82,Suryamuni Tiwari,,BJP,64906,32.36,14969
Chandauli,382,Saiyadraja,Sushil Singh,,BJP,78869,40.19,Shyam Narayan Singh,,BSP,64375,32.8,14494
Chandauli,383,Chakia (SC),Sharada Prasad,,BJP,96890,41.87,Jitendra Kumar,,BSP,76827,33.2,20063
Varanasi,384,Pindra,Avadhesh Singh,,BJP,90614,44.97,Babulal,,BSP,53765,26.68,36849
Varanasi,385,Ajagara (SC),Kailash Nath Sonkar,,SBSP,83778,38.52,Lalji Sonkar,,SP,62429,28.7,21349
Varanasi,386,Shivpur,Anil Rajbhar,,BJP,110453,48.64,Anand Mohan Yadav,,SP,56194,24.75,54259
Varanasi,387,Rohaniya,Surendra Narayan Singh,,BJP,119885,51.77,Mahendra Singh Patel,,SP,62332,26.91,57553
Varanasi,388,Varanasi North,Ravindra Jaiswal,,BJP,116017,51.2,Abdul Samad Ansari,,INC,70515,31.12,45502
Varanasi,389,Varanasi South,Neelkanth Tiwari,,BJP,92560,51.89,Rajesh Mishra,,INC,75334,42.23,17226
Varanasi,390,Varanasi Cantt.,Saurabh Srivastava,,BJP,132609,58.46,Anil Srivastava,,INC,71283,31.42,61326
