District,Constituency,Constituency,Turnout,Winner,Winner,Winner,Winner,Winner,Runner-up,Runner-up,Runner-up,Runner-up,Runner-up,Margin
District,#,Name,%,Candidate,Party,Party.1,Votes,%,Candidate,Party,Party.1,Votes,%,Margin
Sitapur,153.0,Misrikh (SC),61.52,Ramkrishna Bhargava,,BJP,91092.0,41.15,Manoj Kumar Raghuvanshi,,SBSP,79627.0,35.97,11465.0
Hardoi,154.0,Sawayazpur,61.54,Madhavendra Pratap,,BJP,114623.0,46.03,Padamrag Singh Yadav,,SP,88576.0,35.68,26047.0
Hardoi,155.0,Shahabad,65.76,Rajani Tiwari,,BJP,94561.0,40.49,Asif Khan Babbu,,SP,88082.0,37.72,6479.0
Hardoi,156.0,Hardoi,57.52,Nitin Agarwal,,BJP,126750.0,53.19,Anil Verma,,SP,84339.0,35.39,42411.0
Hardoi,157.0,Gopamau (SC),61.99,Shyam Prakash,,BJP,91762.0,43.07,Rajeshwari,,SP,83764.0,39.32,7998.0
Hardoi,158.0,Sandi (SC),58.89,Prabhash Kumar,,BJP,81519.0,41.7,Usha Verma,,SP,72286.0,36.97,9233.0
Hardoi,159.0,Bilgram-Mallanwan,61.47,Ashish Kumar Singh,,BJP,82075.0,34.96,Brijesh Kumar Verma,,SP,57185.0,24.36,24890.0
Hardoi,160.0,Balamau (SC),55.12,Ram Pal Verma,,BJP,81994.0,42.84,Rambali Verma,,SP,55570.0,29.13,26424.0
Hardoi,161.0,Sandila,59.92,Alka Singh Arkvanshi,,BJP,101730.0,49.76,Abdul Mannan,,BSP,64627.0,31.61,37103.0
Unnao,162.0,Bangarmau,56.94,Shrikant Katiyar,,BJP,90980.0,44.7,Dr. Munna,,SP,75187.0,36.94,15793.0
Unnao,163.0,Safipur (SC),57.05,Bamba Lal Diwakar,,BJP,102968.0,52.13,Sudhir Kumar,,SP,68836.0,34.85,34132.0
Unnao,164.0,Mohan (SC),61.82,Brijesh Kumar Rawat,,BJP,113291.0,53.45,Dr. Anchal,,SP,70112.0,33.08,43179.0
Unnao,165.0,Unnao,59.96,Pankaj Gupta,,BJP,126670.0,51.62,Abhinav Kumar,,SP,95542.0,38.94,31128.0
Unnao,166.0,Bhagwantnagar,59.31,Ashutosh Shukla,,BJP,127118.0,51.28,Ankit Parihar,,SP,84108.0,33.93,43010.0
Unnao,167.0,Purwa,61.62,Anil Kumar Singh,,BJP,133827.0,52.27,Uday Raj,,SP,102766.0,40.14,31061.0
Lucknow,168.0,Malihabad (SC),66.68,Jai Devi,,BJP,106372.0,44.15,Surendra Kumar,,SP,98627.0,40.93,7745.0
Lucknow,169.0,Bakshi Kaa Talab,69.82,Yogesh Shukla,,BJP,147922.0,46.36,Gomti Yadav,,SP,120134.0,37.65,27788.0
Lucknow,170.0,Sarojini Nagar,57.71,Rajeshwar Singh,,BJP,160626.0,49.07,Abhishek Mishra,,SP,104440.0,31.9,56186.0
Lucknow,171.0,Lucknow West,58.29,Armaan Khan,,SP,124497.0,48.19,Anjali Kumar Srivastava,,BJP,116313.0,45.03,8184.0
Lucknow,172.0,Lucknow North,56.29,Neeraj Bora,,BJP,139159.0,53.3,Pooja Shukla,,SP,105206.0,40.29,33953.0
Lucknow,173.0,Lucknow East,56.27,Ashutosh Tandon,,BJP,152928.0,59.4,Anurag Bhadouria,,SP,84197.0,32.7,68731.0
Lucknow,174.0,Lucknow Central,56.81,Ravidas Mehotra,,SP,104488.0,49.62,Rajnish Kumar Gupta,,BJP,93553.0,44.43,10935.0
Lucknow,175.0,Lucknow Cantonment,53.7,Brajesh Pathak,,BJP,108147.0,54.7,Raju Gandhi,,SP,68635.0,34.71,39512.0
Lucknow,176.0,Mohanlalganj (SC),67.69,Amresh Kumar,,BJP,107089.0,43.58,Sushila Saroj,,SP,90541.0,36.84,16548.0
